Clock frequency is approx. 3492.1 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	
64m	6925.2	6446.9	5442.9	4487.4	3468.1	3182.7	2737.4	2331.4	1969.3	1752.8	1536.7	1364.5	1311.6	1200.3	1189.1	1107.4	
32m	6964.0	6529.4	5522.6	4366.6	3733.6	3150.0	2553.3	2345.6	2179.2	1975.6	1773.4	1627.3	1491.8	1369.5	1282.1	1193.6	
16m	7042.2	6652.7	5940.3	4929.2	4145.1	3549.3	3021.0	2610.5	2358.9	2068.2	1926.5	1763.6	1598.2	1505.7	1408.2	1319.9	
8m	6866.7	6326.7	5679.6	5174.7	4591.6	3954.8	3590.8	3242.2	2964.6	2727.6	2530.0	2388.6	2266.8	2131.2	2042.2	1942.4	
4m	6751.6	6562.6	6278.5	6274.9	5776.2	5359.9	4934.7	4915.5	4731.8	4338.7	3997.2	3705.0	3443.9	3227.7	3028.5	2862.8	
2m	6780.3	6765.3	6512.8	6620.6	6117.3	5555.1	5233.1	5263.8	4916.6	4498.4	4123.5	3790.4	3528.4	3290.8	3090.0	2906.8	
1024k	6783.0	6766.2	6520.6	6629.5	6126.3	5548.5	5231.3	5257.9	4941.3	4499.0	4135.2	3805.4	3539.9	3301.1	3095.0	2919.7	
512k	6778.5	6771.3	6524.7	6615.1	6134.9	5562.0	5197.2	5322.9	4932.8	4512.8	4134.8	3789.6	3523.8	3297.8	3097.0	2913.0	
256k	6785.0	6775.5	6529.9	6639.9	6588.4	6441.9	6365.7	6400.6	6230.2	6267.9	6185.1	6070.3	5977.0	5810.0	5640.8	5428.9	
128k	6767.8	6770.0	6511.5	6579.1	6768.9	6820.3	6836.0	6777.4	6716.3	6850.9	6840.1	6672.6	6828.4	6855.3	6752.4	6835.7	
64k	6784.2	6751.4	6513.4	6541.8	6799.0	6761.4	6787.0	6651.3	6758.7	6853.5	6734.4	6774.6	6895.3	6799.7	6685.8	6705.9	
32k	6782.2	6779.8	6735.1	6720.1	6652.3	6640.1	6626.1	6649.8	6665.6	6655.1	6623.9	6625.1	6606.7	6485.3	6496.4	6385.6	
16k	6777.4	6758.2	6710.2	6561.3	6655.1	6441.5	6500.8	6454.7	6465.6	6463.4	6632.3	6398.3	6312.9	6153.3	6334.5	6251.6	
8k	6707.5	6677.7	6625.1	6454.7	6552.2	6476.5	6495.7	6284.6	5995.9	6190.6	6014.2	5880.5	6197.3	6008.5	5866.7	5940.1	
4k	6640.5	6472.3	6424.2	6251.6	6190.6	6234.6	6116.4	5940.1	5674.7	6129.9	5959.0	5617.0	5500.1	5256.2	5326.0	5258.7	
2k	6454.7	6284.6	6385.0	5824.0	5329.4	5538.7	5511.9	5079.4	4923.7	4686.8	4542.2	4240.4	4091.5	5860.3	3799.4	5959.9	
1k	6251.6	5824.0	5697.7	5258.7	4596.1	4240.4	5860.3	6208.2	5719.0	5396.9	4920.7	5207.5	2619.1	4472.4	4656.1	4382.3	
